condition,run_id,player_id,label,persona,round,defect_rate,metric
baseline,baseline_neutral,0,neutral_b,neutral,1,0.0,defect_rate
baseline,baseline_neutral,0,neutral_b,neutral,2,0.0,defect_rate
baseline,baseline_neutral,0,neutral_b,neutral,3,0.0,defect_rate
baseline,baseline_neutral,0,neutral_b,neutral,4,0.0,defect_rate
baseline,baseline_neutral,0,neutral_b,neutral,5,0.0,defect_rate
baseline,baseline_neutral,1,neutral_a,neutral,1,0.0,defect_rate
baseline,baseline_neutral,1,neutral_a,neutral,2,0.0,defect_rate
baseline,baseline_neutral,1,neutral_a,neutral,3,0.0,defect_rate
baseline,baseline_neutral,1,neutral_a,neutral,4,0.0,defect_rate
baseline,baseline_neutral,1,neutral_a,neutral,5,0.0,defect_rate
baseline,baseline_neutral,2,neutral_c,neutral,1,0.0,defect_rate
baseline,baseline_neutral,2,neutral_c,neutral,2,0.0,defect_rate
baseline,baseline_neutral,2,neutral_c,neutral,3,0.0,defect_rate
baseline,baseline_neutral,2,neutral_c,neutral,4,0.0,defect_rate
baseline,baseline_neutral,2,neutral_c,neutral,5,0.0,defect_rate
baseline,baseline_neutral,0,neutral_c,neutral,1,0.0,defect_rate
baseline,baseline_neutral,0,neutral_c,neutral,2,0.0,defect_rate
baseline,baseline_neutral,0,neutral_c,neutral,3,0.0,defect_rate
baseline,baseline_neutral,0,neutral_c,neutral,4,0.0,defect_rate
baseline,baseline_neutral,0,neutral_c,neutral,5,0.0,defect_rate
baseline,baseline_neutral,1,neutral_b,neutral,1,0.0,defect_rate
baseline,baseline_neutral,1,neutral_b,neutral,2,0.0,defect_rate
baseline,baseline_neutral,1,neutral_b,neutral,3,0.0,defect_rate
baseline,baseline_neutral,1,neutral_b,neutral,4,0.0,defect_rate
baseline,baseline_neutral,1,neutral_b,neutral,5,0.0,defect_rate
baseline,baseline_neutral,2,neutral_a,neutral,1,0.0,defect_rate
baseline,baseline_neutral,2,neutral_a,neutral,2,0.0,defect_rate
baseline,baseline_neutral,2,neutral_a,neutral,3,0.0,defect_rate
